race_slug,race_id,driver_id,finishing_position,starting_position,car_number,status,laps,notes
2004-spring-fling-redeux,,181,19,,,,,
2004-spring-fling-redeux,,13291,20,,,,,
2004-spring-fling-redeux,,11210,21,,,,,
2004-spring-fling-redeux,,2911,22,,,,,
2004-spring-fling-redeux,,19584,23,,,,,
2004-rainbow-bingo-and-casino-championship-80,,21903,1,,,,,
2004-rainbow-bingo-and-casino-championship-80,,181,2,,,,,
2004-rainbow-bingo-and-casino-championship-80,,10667,3,,,,,
2004-rainbow-bingo-and-casino-championship-80,,3880,4,,,,,
2004-rainbow-bingo-and-casino-championship-80,,4194,5,,,,,
2004-rainbow-bingo-and-casino-championship-80,,20451,6,,,,,
2004-rainbow-bingo-and-casino-championship-80,,17512,7,,,,,
2004-rainbow-bingo-and-casino-championship-80,,2808,8,,,,,
2004-rainbow-bingo-and-casino-championship-80,,21465,9,,,,,
2004-rainbow-bingo-and-casino-championship-80,,1100,10,,,,,
2004-rainbow-bingo-and-casino-championship-80,,8715,11,,,,,
2004-rainbow-bingo-and-casino-championship-80,,11210,12,,,,,
2004-rainbow-bingo-and-casino-championship-80,,13890,13,,,,,
2004-rainbow-bingo-and-casino-championship-80,,15866,14,,,,,
2004-rainbow-bingo-and-casino-championship-80,,681,15,,,,,
2004-rainbow-bingo-and-casino-championship-80,,8381,16,,,,,
2004-rainbow-bingo-and-casino-championship-80,,13668,17,,,,,
2004-rainbow-bingo-and-casino-championship-80,,133,18,,,,,
