series_event_id,finishing_position,starting_position,car_number,driver_id,driver_name,driver_slug,sponsor,make,laps,led,status,points,result_section,source_url
269,12,,,6406,Dean Schultz,dean-schultz,,,,,,,feature,
269,13,,,3693,Chad Devine,chad-devine,,,,,,,feature,
269,14,,,11765,Jim Carlson,jim-carlson,,,,,,,feature,
269,15,,,11091,Jeff Watters,jeff-watters,,,,,,,feature,
269,16,,,8526,Frank Kreyer,frank-kreyer,,,,,,,feature,
269,17,,,8381,"Eugene Gregorich, Jr.",eugene-gregorich-jr,,,,,,,feature,
269,18,,,20139,Rory Melbinger,rory-melbinger,,,,,,,feature,
269,19,,,3355,Burton Brown,burton-brown,,,,,,,feature,
269,20,,,10667,Jason Weinkauf,jason-weinkauf,,,,,,,feature,
269,21,,,13291,John Zimmerman,john-zimmerman,,,,,,,feature,
269,22,,,null,Kurt Guralski,kurt-guralski,,,,,,,feature,
270,1,,,15866,Mark Eswein,mark-eswein,,,,,,,feature,
270,2,,,8715,Gary Back,gary-back,,,,,,,feature,
270,3,,,12529,Joe Kryzkowski,joe-krzykowski,,,,,,,feature,
270,4,,,181,Adam Royle,adam-royle,,,,,,,feature,
